CVX:103.84:Moving up:0.010000000000005:102.50:101.37:101.78
KFT:39.09:Moving up:0.010000000000005:39.14:38.84:38.87
IBM:201.04:Moving up:0.030000000000001:203.00:199.06:201.23
IBM:201.07:Moving up:0.030000000000001:203.00:199.06:201.23
DIS:45.36:Moving up:0.009999999999998:45.80:44.41:45.02
KFT:39.10:Moving up:0.009999999999998:39.14:38.84:38.87
UTX:77.44:Moving up:0.019999999999996:77.91:76.76:77.01
KO:77.58:Moving up:0.030000000000001:77.19:76.49:76.78
DD:52.13:Moving up:0.010000000000005:52.60:51.85:52.09
AXP:59.53:Moving up:0.030000000000001:59.99:58.93:59.46
JNJ:64.60:Moving up:0.0099999999999909:64.88:64.25:64.28
CVX:103.86:Moving up:0.019999999999996:102.50:101.37:101.78
VZ:40.61:Moving up:0.009999999999998:40.47:40.10:40.25
PG:64.21:Moving up:0.0099999999999909:64.29:63.57:63.67
MMM:87.28:Moving up:0.019999999999996:87.84:85.98:87.27
DIS:45.38:Moving up:0.020000000000003:45.80:44.41:45.02
GE:19.16:Moving up:0.02:19.04:18.74:18.91
WMT:59.38:Moving up:0.020000000000003:59.24:58.27:59.03
CVX:103.85:Moving down:-0.010000000000005:102.50:101.37:101.78
TRV:64.72:Moving up:0.019999999999996:64.32:63.60:63.92
JNJ:64.59:Moving down:-0.0099999999999909:64.88:64.25:64.28
CAT:95.78:Moving up:0.090000000000003:97.30:94.08:95.99
JPM:40.90:Moving up:0.009999999999998:41.02:40.12:40.64
MCD:92.20:Moving up:0.019999999999996:93.09:91.56:91.93
GE:19.15:Moving down:-0.010000000000002:19.04:18.74:18.91
IBM:201.11:Moving up:0.04000000000002:203.00:199.06:201.23
TRV:64.71:Moving down:-0.010000000000005:64.32:63.60:63.92
UTX:77.45:Moving up:0.010000000000005:77.91:76.76:77.01
MMM:87.29:Moving up:0.010000000000005:87.84:85.98:87.27
JPM:40.88:Moving down:-0.019999999999996:41.02:40.12:40.64
CAT:95.68:Moving down:-0.099999999999994:97.30:94.08:95.99
AXP:59.50:Moving down:-0.030000000000001:59.99:58.93:59.46
DD:52.11:Moving down:-0.020000000000003:52.60:51.85:52.09
UTX:77.44:Moving down:-0.010000000000005:77.91:76.76:77.01
WMT:59.35:Moving down:-0.030000000000001:59.24:58.27:59.03
IBM:201.04:Moving down:-0.070000000000022:203.00:199.06:201.23
DIS:45.37:Moving down:-0.010000000000005:45.80:44.41:45.02
MMM:87.27:Moving down:-0.02000000000001:87.84:85.98:87.27
KO:77.57:Moving down:-0.010000000000005:77.19:76.49:76.78
VZ:40.62:Moving up:0.009999999999998:40.47:40.10:40.25
CVX:103.76:Moving down:-0.089999999999989:102.50:101.37:101.78
BA:74.15:Moving up:0.030000000000001:74.86:73.32:74.05
AXP:59.51:Moving up:0.009999999999998:59.99:58.93:59.46
KFT:39.07:Moving down:-0.030000000000001:39.14:38.84:38.87
PG:64.18:Moving down:-0.029999999999987:64.29:63.57:63.67
CVX:103.79:Moving up:0.030000000000001:102.50:101.37:101.78
AXP:59.50:Moving down:-0.009999999999998:59.99:58.93:59.46
KFT:39.08:Moving up:0.009999999999998:39.14:38.84:38.87
DIS:45.35:Moving down:-0.019999999999996:45.80:44.41:45.02
JNJ:64.57:Moving down:-0.02000000000001:64.88:64.25:64.28
